zip_code,lat,lon,distance_mi,population,crime_count,crime_score,crime_rate,rent_1br,rent_2br,rent_3br,rent,listings_total,listings_new,days_on_market,rentcast_1br,rentcast_2br,rentcast_3br
92009,33.09430069,-117.2457801,29.56285297,44739,0.0,0.0,0.0,3575.0,4367.0,5819.0,3575.0,92.0,23.0,37.25,2889.0,3563.0,4862.0
92007,33.02175405,-117.2741878,25.25481218,11100,0.0,0.0,0.0,3454.0,4213.0,5610.0,3454.0,,,,,,
92067,33.02139744,-117.1938305,24.03663472,7938,0.0,0.0,0.0,3498.0,4268.0,5687.0,3498.0,,,,,,
92019,32.77911121,-116.878892,16.03814522,45351,0.0,0.0,0.0,2750.0,3355.0,4466.0,2750.0,140.0,69.0,25.66,2129.0,2593.0,4190.0
91978,32.72417308,-116.9423726,11.1974211,10014,0.0,0.0,0.0,2893.0,3531.0,4708.0,2893.0,,,,,,
92040,32.90753035,-116.8848172,21.20150142,46216,2.0,6.0,0.1298251687727194,2376.0,2893.0,3850.0,2376.0,63.0,11.0,63.54,1732.0,2301.0,3658.0
91902,32.6670195,-117.0182571,6.325601348,17698,2.0,7.0,0.39552491806983836,2827.0,3454.0,4598.0,2827.0,,,,,,
91915,32.62237017,-116.9495798,10.96254209,35322,4.0,15.0,0.42466451503312386,3762.0,4587.0,6116.0,3762.0,146.0,71.0,15.93,2771.0,3489.0,3873.0
92024,33.05620735,-117.2584436,27.22144216,50617,5.0,24.0,0.47414900132366594,3487.0,4257.0,5676.0,3487.0,180.0,36.0,45.65,3214.0,4118.0,6485.0
91913,32.62001133,-116.9870512,9.007707301,57721,6.0,42.0,0.7276381213076696,3696.0,4510.0,6006.0,3696.0,280.0,123.0,24.42,2651.0,3331.0,3999.0
91941,32.75987386,-116.9934449,9.612225658,33218,7.0,27.0,0.8128123306640977,2508.0,3058.0,4070.0,2508.0,116.0,26.0,51.22,1992.0,2468.0,3866.0
92020,32.7955104,-116.9697212,12.23501901,57842,10.0,48.0,0.8298468241070502,2409.0,2937.0,3916.0,2409.0,230.0,58.0,70.21,1883.0,2276.0,3176.0
92021,32.83552592,-116.8707152,18.45888777,70501,13.0,59.0,0.8368675621622388,2332.0,2849.0,3795.0,2332.0,187.0,32.0,63.38,1843.0,2299.0,3408.0
91914,32.66543185,-116.9523465,10.16693323,16877,5.0,15.0,0.8887835515790721,4059.0,4950.0,6589.0,4059.0,,,,,,
92025,33.08531564,-117.0293238,28.66805641,49989,13.0,53.0,1.0602332513152894,2486.0,3036.0,4048.0,2486.0,147.0,49.0,46.8,2244.0,2409.0,3378.0
91977,32.72594344,-116.9965627,8.272157648,61064,19.0,69.0,1.1299620070745446,2321.0,2827.0,3762.0,2321.0,143.0,27.0,44.89,2116.0,2249.0,3838.0
91901,32.80635087,-116.7121604,25.72635776,18197,3.0,21.0,1.1540363796230149,2552.0,3113.0,4147.0,2552.0,,,,,,
91935,32.70880386,-116.7904873,19.70148662,9114,2.0,12.0,1.3166556945358787,2662.0,3245.0,4323.0,2662.0,,,,,,
92064,32.98404894,-117.0193588,22.03269463,48683,13.0,70.0,1.4378735903703552,2816.0,3443.0,4587.0,2816.0,100.0,18.0,46.05,2093.0,2811.0,3869.0
92071,32.85128031,-116.9914636,14.33632924,59590,20.0,115.0,1.9298540023493875,2640.0,3223.0,4290.0,2640.0,152.0,67.0,31.43,2241.0,2741.0,3844.0
91932,32.57415111,-117.1207805,7.075917665,25741,17.0,53.0,2.05897206790723,2519.0,3069.0,4092.0,2519.0,263.0,94.0,42.71,2066.0,3087.0,4304.0
92029,33.08509666,-117.1299476,28.09599915,20726,6.0,51.0,2.4606774100164044,3014.0,3674.0,4895.0,3014.0,,,,,,
91910,32.6382661,-117.0571061,4.821109522,77123,41.0,192.0,2.48952971227779,2508.0,3058.0,4070.0,2508.0,298.0,95.0,41.62,2092.0,2614.0,3562.0
91911,32.60735368,-117.0540592,6.367341677,85542,51.0,213.0,2.490004909868836,2541.0,3102.0,4136.0,2541.0,226.0,98.0,32.93,2175.0,2823.0,3367.0
92075,32.99725785,-117.2595547,23.38025698,11944,4.0,30.0,2.5117213663764235,3784.0,4620.0,6160.0,3784.0,,,,,,
92118,32.6711504,-117.1770537,3.006075723,18929,8.0,48.0,2.5357916424533786,4059.0,4950.0,6589.0,4059.0,,,,,,
91945,32.73317664,-117.034164,6.611091044,27745,21.0,81.0,2.9194449450351416,2222.0,2706.0,3608.0,2222.0,83.0,27.0,26.24,2072.0,2690.0,3671.0
91942,32.77749111,-117.0216871,9.21600974,41424,32.0,181.0,4.369447663190421,2717.0,3311.0,4411.0,2717.0,274.0,112.0,37.9,2237.0,2899.0,3726.0
91950,32.67004537,-117.0941924,1.915549847,59891,112.0,460.0,7.680619792623265,2112.0,2574.0,3432.0,2112.0,148.0,25.0,71.22,1848.0,2560.0,3455.0
92127,33.01979308,-117.1238663,23.59964992,50555,414.0,1554.0,30.738799327465134,3256.0,3971.0,5291.0,3256.0,144.0,57.0,24.79,2646.0,3120.0,4126.0
92014,32.96647062,-117.2490086,21.178151,13105,182.0,683.0,52.11751239984739,4059.0,4950.0,6589.0,4059.0,,,,,,
92130,32.94758971,-117.2073894,19.22320958,60768,905.0,3291.0,54.15679304897315,4059.0,4950.0,6589.0,4059.0,364.0,200.0,9.14,3319.0,4111.0,5136.0
92129,32.96487026,-117.1259652,19.81854526,52965,817.0,3076.0,58.076087982630035,2926.0,3575.0,4763.0,2926.0,174.0,66.0,25.71,2584.0,2960.0,4313.0
92131,32.89430743,-117.0800765,15.19912438,35503,555.0,2127.0,59.91043010449821,3751.0,4576.0,6094.0,3751.0,60.0,22.0,13.68,2663.0,3055.0,3918.0
92124,32.82660535,-117.0859705,10.56306985,30474,554.0,2082.0,68.32053553849182,3872.0,4730.0,6303.0,3872.0,134.0,85.0,4.18,2834.0,3403.0,3843.0
92128,32.99948636,-117.071756,22.4251285,48992,924.0,3556.0,72.58327890267799,3465.0,4224.0,5632.0,3465.0,362.0,167.0,8.59,2507.0,3046.0,4100.0
92122,32.85923389,-117.1700696,12.80789984,45411,948.0,3576.0,78.74744004756556,3553.0,4334.0,5775.0,3553.0,763.0,393.0,18.89,2830.0,3602.0,4595.0
92119,32.81006228,-117.0327861,10.6545336,24456,522.0,2043.0,83.53778213935232,2772.0,3388.0,4510.0,2772.0,130.0,76.0,9.24,2245.0,2699.0,4095.0
92126,32.90840677,-117.1412931,15.95692301,76059,1729.0,6666.0,87.64248806847316,3355.0,4092.0,5456.0,3355.0,434.0,214.0,15.22,2510.0,3213.0,4168.0
92139,32.67987501,-117.0489002,4.504612,34703,873.0,3551.0,102.32544736766273,2596.0,3168.0,4224.0,2596.0,55.0,11.0,87.6,1883.0,2529.0,3419.0
92117,32.8245674,-117.199521,11.0290556,52275,1660.0,6540.0,125.10760401721666,2706.0,3300.0,4400.0,2706.0,355.0,182.0,18.84,2169.0,2749.0,4415.0
92120,32.7947324,-117.0713029,8.713410793,31915,1042.0,4078.0,127.77690741030864,3014.0,3674.0,4895.0,3014.0,165.0,87.0,26.89,2231.0,2831.0,4201.0
92106,32.71027507,-117.2372563,6.886493704,21651,729.0,2816.0,130.06327652302434,2871.0,3509.0,4675.0,2871.0,113.0,35.0,39.77,2442.0,3817.0,6088.0
92114,32.70775658,-117.0550946,4.650655156,65745,2081.0,8861.0,134.77831013765305,2376.0,2904.0,3872.0,2376.0,66.0,13.0,41.39,1643.0,2277.0,3648.0
92037,32.85654299,-117.252011,14.38055311,40717,1472.0,5600.0,137.53469066974483,3168.0,3861.0,5148.0,3168.0,284.0,70.0,50.56,3043.0,5466.0,6403.0
92116,32.76496864,-117.1231511,6.062433914,31843,1201.0,4703.0,147.69337059950382,2739.0,3344.0,4455.0,2739.0,306.0,80.0,44.72,2146.0,2999.0,5037.0
92154,32.56760554,-117.003002,10.39965426,80445,3166.0,12591.0,156.51687488346076,2662.0,3245.0,4323.0,2662.0,221.0,100.0,17.6,2019.0,2754.0,3734.0
92123,32.80677727,-117.1349142,8.952454655,33041,1348.0,5521.0,167.09542689385916,3421.0,4180.0,5566.0,3421.0,336.0,216.0,5.64,2975.0,3447.0,4367.0
92105,32.73782591,-117.0926686,4.621420715,71411,3004.0,12593.0,176.34538096371708,2189.0,2673.0,3564.0,2189.0,240.0,45.0,46.38,1796.0,2358.0,3042.0
92115,32.76140548,-117.0717941,6.619126853,66264,2843.0,12054.0,181.90872872147773,2541.0,3102.0,4136.0,2541.0,687.0,366.0,28.23,1839.0,2560.0,3817.0
92111,32.80647889,-117.1688637,9.260587717,45249,2112.0,8359.0,184.7333642732436,2684.0,3278.0,4367.0,2684.0,173.0,55.0,37.11,2193.0,2779.0,4246.0
92104,32.74162861,-117.128178,4.455825243,47410,2284.0,9191.0,193.86205441889896,2783.0,3399.0,4532.0,2783.0,563.0,169.0,38.09,2213.0,2986.0,4115.0
92173,32.55400169,-117.0423808,9.764861685,27585,1386.0,5734.0,207.86659416349465,2189.0,2673.0,3564.0,2189.0,66.0,27.0,27.05,1985.0,2515.0,2955.0
92107,32.73906795,-117.2452901,8.169402235,28827,1498.0,6057.0,210.11551670309086,3047.0,3718.0,4950.0,3047.0,231.0,74.0,38.08,2504.0,3295.0,5164.0
92103,32.74741238,-117.1668837,5.406589865,34836,2108.0,8468.0,243.08186933057758,3058.0,3729.0,4972.0,3058.0,500.0,162.0,45.23,2562.0,3674.0,5512.0
92102,32.71622123,-117.117058,2.755520061,38901,2431.0,9987.0,256.7286188015732,2519.0,3080.0,4103.0,2519.0,248.0,61.0,48.98,2110.0,2880.0,3729.0
92113,32.69601745,-117.1182265,1.391469229,48215,3141.0,13516.0,280.327698848906,2178.0,2662.0,3542.0,2178.0,117.0,32.0,50.86,1830.0,2477.0,3232.0
92109,32.78623967,-117.2342727,9.823023696,44820,3481.0,13710.0,305.89022757697455,3344.0,4081.0,5434.0,3344.0,529.0,135.0,39.5,2629.0,3506.0,6025.0
92108,32.77395771,-117.1425277,6.74797568,26790,2080.0,8391.0,313.2138857782755,3949.0,4818.0,6424.0,3949.0,784.0,468.0,7.66,2794.0,3499.0,4683.0
92110,32.76510205,-117.1998763,7.443716534,30902,2594.0,10169.0,329.07255193838586,3113.0,3795.0,5060.0,3113.0,224.0,72.0,38.65,2594.0,3391.0,4546.0
92101,32.72399153,-117.1708332,4.164526601,51805,6182.0,25561.0,493.4079722034553,3883.0,4741.0,6314.0,3883.0,1379.0,754.0,20.21,2940.0,4249.0,5138.0
92121,32.89915497,-117.2022744,15.92821054,3974,665.0,2496.0,628.0825364871666,3168.0,3872.0,5159.0,3168.0,,,,,,
